x y
396.5421919720017 1500.857705740755
389.33659669882616 1515.6755583673037
204.70349219192312 903.7847577937976
198.4505272337765 907.519951261531
1395.6774780714832 1290.8961678388644
179.19225963550178 895.1102650007384
1404.1285335613395 1317.5119693627398
206.98280443780322 889.4373171179124
496.9419937088683 1405.8343227935347
494.4714899544526 1416.3904439870253
510.88886062649243 1405.7374016866784
488.88485857635874 1386.7651272608034
387.0276512882481 1475.4425184034558
1392.7610081482603 1293.6253799420874
1393.138729981248 1297.0738742534984
212.16800500827867 896.4581463237902
401.87297254044114 1493.1191343176797
1394.8756476294582 1287.5535374208991
1384.1951729427374 1301.540673974631
405.5718088477362 1502.4829577368666
492.53214187935635 1388.597517419103
404.83000272857896 1502.4782430689252
1402.4637781262843 1308.4231981129035
1406.8636652939074 1292.0568275652386
500.8739602801096 1394.461374550755
390.71652022625403 1503.335695909396
191.09048464228306 909.8028690384666
203.8908796247394 909.9563019594542
504.1385405588695 1420.752052143621
497.09703104883613 1379.1617498209764
210.8264826484441 908.296137102664
196.67160172435769 885.4944614861308
385.2954795891964 1490.5734849564492
1390.5923307681037 1319.1347606469565
508.7401491194926 1393.7593549022345
201.69208808924625 890.2050291535729
502.24589660413676 1389.0840938785086
386.77687718631074 1488.4121375868544
1407.155459531658 1309.2401351005115
377.0533369878199 1505.3709838089849
